session,treat,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,int_1,int_2,int_3,int_4,ben_1,ben_2,ben_3,ben_4,meas_rep,tsm_1,tsm_2,tsm_3,tsm_4,age,semester,sex,tch_1,tch_2,tch_3,tch_4,tch_5
MroJxtQqjeJPsRlItN8lxhBcoWAZ-q_vijdLsLA-UkqdGEoXse7HixmO7dF8dfys,CC,5,5,4,5,4,5,5,5,4,5,5,5,5,5,2,2,2,2,3,21,5,2,-999,-999,-999,-999,-999
b7wlgfPbmIO57EhH7_UZgI-1AMZSC8QmezfJbSYiUHeyoNhXn5a5Ym7_a6VPFwFn,GB,2,3,2,2,2,3,4,4,4,3,4,3,3,3,1,2,2,2,1,21,5,2,1,1,1,1,1
b7wlgfPbmIO57EhH7_UZgI-1AMZSC8QmezfJbSYiUHeyoNhXn5a5Ym7_a6VPFwFn,CC,6,5,5,5,7,7,6,5,4,4,5,4,5,4,2,1,2,1,1,21,5,2,4,-999,-999,-999,-999
JGqDdrUREqtQT4MZC7zFSNYrERCGKq4FaoQyAhUvkpG41IVshk1SsRZXsnk0reOO,GB,4,4,4,4,7,4,4,4,4,4,1,1,1,1,1,1,4,1,4,NA,NA,NA,1,1,1,1,1
d_nRgcsRqD6EBPH3czV3KoikojcuFbl6Y8l4VphLNZk7UNxabr24YpW2uUmsZP7G,GB,3,5,4,3,4,5,3,3,4,4,4,4,4,4,1,3,3,4,3,23,9,2,1,1,1,2,1
d_nRgcsRqD6EBPH3czV3KoikojcuFbl6Y8l4VphLNZk7UNxabr24YpW2uUmsZP7G,CC,5,5,5,5,5,5,5,5,4,4,4,4,5,4,2,2,3,4,3,23,9,2,3,1,1,3,1
Ww6VSVoUMFgn0mv7VfXtoAycMkLPt-gl6uRCs1AsWAvldiUg9qHMQW8vuVFfRmEP,GB,5,5,5,5,5,5,6,6,4,5,4,5,6,4,1,3,2,3,3,20,1,2,3,4,3,4,4
Ww6VSVoUMFgn0mv7VfXtoAycMkLPt-gl6uRCs1AsWAvldiUg9qHMQW8vuVFfRmEP,CC,5,5,5,6,6,5,6,5,6,7,5,6,5,5,2,3,2,3,2,20,1,2,3,2,2,3,2
UgAxSPY9RQCgReHvoRlyy7EvB8TsWKWMZyoMpxJFwpv58GH3ySJHvaezwbjqeTMH,GB,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,4,1,28,10,2,1,1,1,1,1
UgAxSPY9RQCgReHvoRlyy7EvB8TsWKWMZyoMpxJFwpv58GH3ySJHvaezwbjqeTMH,CC,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,1,1,1,28,10,2,4,1,1,4,1
YnUOKokrYAVV0rBlCnpyZLVGtkvUaAyYII03JEjFTECiFECHnifeW_rW9RfYplBh,GB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,3,3,3,26,13,2,1,1,1,1,1
YnUOKokrYAVV0rBlCnpyZLVGtkvUaAyYII03JEjFTECiFECHnifeW_rW9RfYplBh,CC,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,1,1,1,26,13,2,-999,-999,-999,-999,-999
zOzqsnE4PCaanbZtyIegZvYAfVHfhFI0edodWXuQcYLiDqjskBqZynDyE5kqAI1y,GB,6,6,5,6,4,6,7,7,7,5,7,7,7,5,1,1,1,1,1,23,8,1,1,1,1,2,1
zOzqsnE4PCaanbZtyIegZvYAfVHfhFI0edodWXuQcYLiDqjskBqZynDyE5kqAI1y,CC,6,6,6,6,6,6,7,7,7,6,7,7,6,7,2,1,1,1,1,23,8,1,-999,-999,-999,1,-999
0LbDGn8sF0BH9pU2NeeCGN4Rh-rWAePSZAHo-83PElqmqLt8WNSXb7_Y2_HAXjxw,GB,3,4,4,4,4,5,4,3,3,3,4,3,5,3,1,3,3,2,3,26,8,2,3,2,3,-999,-999
0LbDGn8sF0BH9pU2NeeCGN4Rh-rWAePSZAHo-83PElqmqLt8WNSXb7_Y2_HAXjxw,CC,5,4,5,5,5,5,5,5,4,5,5,5,6,6,2,2,3,3,2,26,8,2,2,-999,3,3,3
R4Aef5szQmhpBo9QrIzPC8mzIARfDyK4paUjc7BUnuhHKJF9H3RdQdeA8AI2Qu9z,GB,4,3,3,3,3,3,5,5,4,5,3,4,4,3,1,3,3,2,3,21,4,2,2,2,3,4,3
R4Aef5szQmhpBo9QrIzPC8mzIARfDyK4paUjc7BUnuhHKJF9H3RdQdeA8AI2Qu9z,CC,6,7,5,6,5,5,6,7,6,6,6,5,6,6,2,3,4,2,2,21,4,2,3,3,4,4,4
vF-wbrcYuxI7NHxR5YduhbJi-fbeqSiDg8uhBI5g5f7_ZzXKqlC6m3G6Inbfzajv,GB,6,5,5,5,3,6,6,7,4,6,4,4,6,4,1,1,3,1,4,28,16,1,-999,-999,-999,1,-999
vF-wbrcYuxI7NHxR5YduhbJi-fbeqSiDg8uhBI5g5f7_ZzXKqlC6m3G6Inbfzajv,CC,7,6,4,7,6,4,6,6,4,6,4,5,6,4,2,1,3,1,3,28,16,1,3,-999,-999,3,-999
YBrRqWzk2C3Fgw8OtHp2ZivfcW3iFaeximocwA_X8GqRmhbmMFr10I7Mi6eklRpN,GB,2,3,3,1,2,2,2,1,4,3,4,2,1,4,1,2,3,3,4,19,3,2,1,1,1,1,1
YBrRqWzk2C3Fgw8OtHp2ZivfcW3iFaeximocwA_X8GqRmhbmMFr10I7Mi6eklRpN,CC,5,4,4,4,5,4,4,4,4,4,4,4,5,4,2,1,1,1,2,19,3,2,2,-999,-999,2,-999
kBhl_X4m76ot-IYGT3BYYlktu4VIG7DuOTdvjYsZcAMCYpaeNgrCWJmZFbC5ZcFI,GB,5,3,5,6,4,6,5,6,5,5,5,5,5,4,1,2,1,2,1,23,9,2,1,1,1,1,1
kBhl_X4m76ot-IYGT3BYYlktu4VIG7DuOTdvjYsZcAMCYpaeNgrCWJmZFbC5ZcFI,CC,4,4,4,4,4,4,6,6,6,5,6,6,4,5,2,2,2,2,2,23,9,2,1,1,1,1,1
Tnl2S9O2xhP9TkUSRGUOnt1QR28QmT4tCTBymYIHdyNcQ5HgoKVMnZlNI-UkAz0C,GB,6,6,6,6,5,7,6,6,6,6,6,6,6,6,1,1,1,1,1,22,7,1,1,4,-999,4,-999
Tnl2S9O2xhP9TkUSRGUOnt1QR28QmT4tCTBymYIHdyNcQ5HgoKVMnZlNI-UkAz0C,CC,7,7,7,7,7,7,6,6,6,6,6,6,7,6,2,1,1,1,1,22,7,1,4,-999,4,4,-999
c7QrUmdFdEO0ukjM6BGz7iuTfOZMx1rm9ABjLL0tR8ajGzRxG4HzKN-k1wL7Wexy,GB,4,6,5,3,5,6,4,4,4,3,5,4,4,3,1,2,3,1,3,24,11,2,1,1,1,1,1
c7QrUmdFdEO0ukjM6BGz7iuTfOZMx1rm9ABjLL0tR8ajGzRxG4HzKN-k1wL7Wexy,CC,6,6,6,6,4,6,5,5,5,5,5,5,5,4,2,1,1,1,3,24,11,2,3,-999,-999,3,-999
TCTv_l6ZMjpWSfpQco_peNIMVBRXSCJ7md8x_rXahpQi1EnuD4mRzb4d5TDVWI2F,CC,5,5,5,5,4,5,6,6,6,6,6,6,5,6,1,1,1,2,1,23,9,2,4,3,2,2,4
TCTv_l6ZMjpWSfpQco_peNIMVBRXSCJ7md8x_rXahpQi1EnuD4mRzb4d5TDVWI2F,GB,3,4,4,2,4,3,4,2,3,4,4,4,3,4,2,2,2,2,3,23,9,2,1,1,1,1,1
aKyIe7iHOmCWGMym1AvSNE92yX8WSIQbs8-LgCr_zjVxyn3jfcrBTyyyB8g2vDw4,CC,4,5,5,4,5,5,5,4,4,4,4,4,5,4,1,3,3,3,3,19,1,2,4,-999,-999,3,-999
aKyIe7iHOmCWGMym1AvSNE92yX8WSIQbs8-LgCr_zjVxyn3jfcrBTyyyB8g2vDw4,GB,6,6,6,6,6,6,5,5,5,5,5,4,6,5,2,2,3,2,3,19,1,2,4,1,1,1,1
iGgGUcdLWO6zsRnTqY3x0covgAtM_NQ89W3koyRnm_B6ETruyLG_CNNpuVFwJ9B6,CC,6,6,5,5,6,6,5,5,5,6,5,6,5,5,1,1,1,3,1,19,3,1,3,-999,-999,2,2
iGgGUcdLWO6zsRnTqY3x0covgAtM_NQ89W3koyRnm_B6ETruyLG_CNNpuVFwJ9B6,GB,6,6,5,6,5,6,5,5,6,6,6,5,5,5,2,2,1,3,1,19,3,1,4,4,4,4,4
Qf6p6b7OM17VmHAeonFm-qSijqnjuGg_4axJ9iHRBaBUbklQLRkd8gYbbDF0KSbQ,CC,7,6,6,7,6,6,7,6,6,6,7,7,6,6,1,2,3,1,3,21,5,1,1,-999,-999,-999,-999
Qf6p6b7OM17VmHAeonFm-qSijqnjuGg_4axJ9iHRBaBUbklQLRkd8gYbbDF0KSbQ,GB,6,6,6,7,6,6,5,6,6,6,6,6,6,5,2,3,1,1,1,21,5,1,1,1,1,1,1
Zy0n77D_iwv2f4cJ3tcoWj1EoLY5PijSyBkU3ncLRdGgEFbyJ2x4CEy3wnTfzuNX,CC,6,7,7,7,6,7,7,7,6,7,7,7,7,7,1,2,1,1,2,20,1,1,2,1,-999,2,3
Zy0n77D_iwv2f4cJ3tcoWj1EoLY5PijSyBkU3ncLRdGgEFbyJ2x4CEy3wnTfzuNX,GB,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,1,1,1,20,1,1,1,1,1,4,1
iw67v-6bSTViwwwA3ITr9j6TwwwsiuBM42efCvE0BcRAWnqj7ojZ4aGEQL0ZSRYo,CC,4,5,5,5,5,5,3,3,3,4,4,4,4,3,1,3,2,3,2,25,10,2,2,-999,-999,2,-999
iw67v-6bSTViwwwA3ITr9j6TwwwsiuBM42efCvE0BcRAWnqj7ojZ4aGEQL0ZSRYo,GB,5,5,5,4,5,5,4,4,5,4,5,5,5,4,2,2,1,2,1,25,10,2,2,1,1,1,1
xZbffEudxnrH5h6K2fRViT2b0kyeVoXl0yebuQvHvrz7xi7hnthEXAOPHOaY1PdD,CC,4,6,3,3,3,5,4,4,4,4,4,4,4,4,1,2,3,2,3,22,6,2,-999,-999,-999,3,-999
xZbffEudxnrH5h6K2fRViT2b0kyeVoXl0yebuQvHvrz7xi7hnthEXAOPHOaY1PdD,GB,4,6,6,5,5,5,4,5,4,4,4,4,4,4,2,1,2,4,2,22,6,2,1,1,1,1,1
bFjrWNkiI2OVR_ls_6mjOi7dQf-czwkDHVqgIxapcKxz6mROJQWyb-1lEIL-YHM8,CC,6,6,6,6,6,6,6,5,6,5,6,6,5,5,1,2,3,2,2,21,5,2,2,2,2,2,1
bFjrWNkiI2OVR_ls_6mjOi7dQf-czwkDHVqgIxapcKxz6mROJQWyb-1lEIL-YHM8,GB,6,6,7,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,21,5,2,2,1,1,1,1
LwxoWhljY3bprTLl7tI728CVRaAj7p-up7LK38iA3qnv--b3viFgy7R89PTXJ0tX,CC,4,5,4,7,4,4,4,4,4,4,7,7,4,4,1,2,1,1,1,25,7,1,-999,-999,-999,-999,-999
LwxoWhljY3bprTLl7tI728CVRaAj7p-up7LK38iA3qnv--b3viFgy7R89PTXJ0tX,GB,4,4,4,7,7,4,4,4,4,4,4,4,4,4,2,1,4,1,4,25,7,1,-999,1,1,-999,1
DXsQk7UccyR4R7KXnqMGwFpbJcvkFNRYG6Y4sHiYmbwzzharxjIcOHlkfSKHAxUz,CC,6,6,6,7,6,3,7,7,5,6,4,4,4,4,1,3,2,1,3,21,3,1,1,2,1,1,2
