session,created,modified,ended,expired,treat,treat1,treat2,first_topic,abs1_tsm_1,abs1_tsm_2,abs1_tsm_3,abs1_tsm_4,abs1_tsc_1,abs1_tsc_2,abs1_tsc_3,abs1_tru_exp_1,abs1_tru_exp_2,abs1_tru_exp_3,abs1_tru_exp_4,abs1_tru_exp_5,abs1_tru_exp_6,abs1_tru_int_1,abs1_tru_int_2,abs1_tru_int_3,abs1_tru_int_4,abs1_tru_ben_1,abs1_tru_ben_2,abs1_tru_ben_3,abs1_tru_ben_4,abs1_tch_1,abs1_tch_2,abs1_tch_3,abs1_tch_4,abs1_tch_5,abs2_tsm_1,abs2_tsm_2,abs2_tsm_3,abs2_tsm_4,abs2_tsc_1,abs2_tsc_2,abs2_tsc_3,abs2_tru_exp_1,abs2_tru_exp_2,abs2_tru_exp_3,abs2_tru_exp_4,abs2_tru_exp_5,abs2_tru_exp_6,abs2_tru_int_1,abs2_tru_int_2,abs2_tru_int_3,abs2_tru_int_4,abs2_tru_ben_1,abs2_tru_ben_2,abs2_tru_ben_3,abs2_tru_ben_4,abs2_tch_1,abs2_tch_2,abs2_tch_3,abs2_tch_4,abs2_tch_5,tsm_1,tsm_2,tsm_3,country,country_oth
TqlBSf9jLsCavvTnsN1_XhGx3z_eLNCBJm1P_R2pHiVPvePpqTrSvYzfkXYOu2fm,2020-12-18 15:23:19,2020-12-18 15:34:22,2020-12-18 15:34:22,NA,cc,cc,cb,moral,3,4,4,3,3,2,3,1,1,1,2,1,1,1,4,4,4,4,3,3,3,1,1,-999,1,-999,1,2,2,2,2,3,2,2,2,2,2,4,4,3,2,3,2,2,2,3,4,4,4,4,4,4,4,4,4,1,NA
WY-rzeTzOLhhJfCLnNKfixXXU8MZ9wEYgOVQmILmKAiJkg779nsm6YDkcJVSu3iF,2020-12-18 15:34:51,2020-12-18 15:39:26,2020-12-18 15:39:26,NA,cb,cb,gb,moral,2,4,3,3,3,3,3,1,2,2,1,1,2,4,6,3,2,3,3,3,3,4,4,4,3,4,2,2,3,2,2,2,2,4,4,5,5,4,3,5,5,5,5,4,5,4,5,2,2,1,1,1,2,1,2,1,NA
YpEl1VFtU5m2zi6knp-BxUyDkIvyD_d9fpoHG-b2E98wswij6ix8o6O4E0_P8e5y,2020-12-18 15:41:33,2020-12-18 15:43:45,2020-12-18 15:43:46,NA,cb,cb,cc,moral,2,2,3,3,3,2,3,5,3,4,5,4,5,3,5,5,5,4,4,4,5,-999,-999,-999,-999,-999,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-999,-999,-999,-999,-999,2,2,3,1,NA
Nr_m6c9Mlso_U77i9PD7er86KBnlm1yOhsAHfZJTPHn_c9BP_7axAPQ4rq_uahDj,2020-12-18 17:04:52,2020-12-18 17:11:24,2020-12-18 17:11:24,NA,cc,cc,gb,robot,2,3,2,3,3,3,3,3,3,3,4,4,3,4,5,4,4,5,4,4,3,2,-999,-999,2,-999,2,3,2,3,3,3,2,2,2,2,2,2,3,4,4,4,4,4,4,3,3,3,3,3,-999,-999,3,3,3,2,NA
uDKkFV8gt6LA2ndmQW3m857CfI5MX4dfBmSyiKPnLAfxQxOXXc_snG6Hove7Krzi,2020-12-18 17:42:14,2020-12-18 17:49:25,2020-12-18 17:49:25,NA,cb,cb,cc,moral,2,3,3,3,2,3,2,1,1,1,1,1,4,1,4,3,3,3,2,2,1,3,-999,4,2,-999,3,3,3,2,2,2,3,1,1,1,1,2,1,2,1,1,2,3,1,2,3,3,3,4,2,3,4,4,3,1,NA
VuV44g43hYEEDNZHJx9035K70_MKte7Z3sPi9sGXd-yv9FLey2wuDHUqL0Dmes2D,2020-12-18 17:43:42,2020-12-18 17:46:58,2020-12-18 17:46:58,NA,cc,cc,cb,moral,3,2,3,2,3,2,3,2,3,2,4,2,2,2,3,3,3,4,4,2,2,3,3,3,3,3,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,4,2,3,2,3,4,4,4,4,4,4,3,4,1,NA
cpuMXLzBX3gJLSPRiHxa78FPhzq5FeTSromp2w0OqfUITqNcb3NwzApw05zIceL5,2020-12-18 17:44:48,2020-12-18 17:52:35,2020-12-18 17:52:36,NA,cc,cc,gb,moral,3,3,3,3,3,2,3,5,4,4,4,6,4,4,4,4,4,4,4,4,4,1,-999,-999,1,-999,2,2,2,2,3,2,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,2,2,1,2,2,4,4,2,1,NA
NfPn4IRXC-oC11ZA2pZFZmgnTaHR7ztans5GvqaDb2Yf1vMH4ugRmQgVSREy2F89,2020-12-18 17:45:01,2020-12-18 17:50:01,2020-12-18 17:50:01,NA,cc,cc,gb,moral,3,3,2,3,3,2,4,2,1,2,2,2,2,3,2,2,2,3,3,2,2,-999,3,3,3,-999,3,2,1,2,3,2,4,2,1,1,2,2,2,1,2,2,3,3,3,2,3,-999,3,-999,4,3,3,4,3,1,NA
Q31yK_5xMgnd1kiVpfpzQ1-4Mz8JmTxGi6ecyau9CGFid5flnRuzqI4I9wfgamSP,2020-12-18 17:46:20,2020-12-18 17:48:05,2020-12-18 17:48:06,NA,cb,cb,gb,moral,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,1,NA
hvqKJRkhCUSvHf9RBXiVLuBVuYgal35oHTAo2XUqLR3mn5ZxIPL-YXfwiTgE-One,2020-12-18 17:46:25,2020-12-18 18:00:32,2020-12-18 18:00:32,NA,cb,cb,cc,moral,1,3,2,2,2,3,3,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4,4,4,4,4,1,2,1,2,3,2,3,2,2,2,1,2,2,2,2,3,2,2,2,2,2,3,-999,-999,-999,-999,4,4,4,1,NA
OGGIe9jayYwjm2PN8yArCAyaHVATht7zSjtXlUnP8aOfaliCcT9Ifk3rneR8l1QR,2020-12-18 17:47:11,2020-12-18 17:59:10,2020-12-18 17:59:10,NA,cc,cc,cb,robot,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,-999,-999,-999,-999,-999,2,3,3,1,NA
H1ZAZrGk2Gp97Ez1jqm-FrOhNsRTeRKYuQ285CqXzdppi8zCysJdEG1-RkGoQpZq,2020-12-18 17:48:32,2020-12-18 17:51:28,2020-12-18 17:51:28,NA,gb,gb,cc,moral,2,3,2,2,3,3,2,3,3,3,3,3,5,3,3,4,4,4,5,4,3,-999,-999,-999,-999,-999,3,3,2,3,3,3,3,3,3,3,3,3,4,5,3,4,4,4,3,4,3,-999,-999,-999,-999,-999,3,3,2,1,NA
VwP-q3X5NLfrc6J9aWT_vuuDZpSYgYPM5ZX2WWYw2h68dJoeVMYqY7wT05WL7403,2020-12-18 17:50:23,2020-12-18 18:13:28,2020-12-18 18:13:28,NA,cb,cb,cc,moral,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,4,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,4,4,4,1,NA
Xd9q3AQ5CaHxQ6_HdOuJlFFMghW9orLNq8O6OwTFxuwpkICDMCg7LAwoofKiunpH,2020-12-18 18:00:56,2020-12-18 18:13:59,2020-12-18 18:13:59,NA,cc,cc,cb,moral,2,2,1,2,3,2,3,3,3,4,3,4,4,2,2,3,2,3,2,3,2,1,-999,-999,2,2,2,3,2,2,2,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,2,4,4,4,4,3,3,4,4,1,NA
H477s3k7UCikPDQ38eMmy0RA1ljbiMyugthUdnTnHwiC8S8CIrZS02sROV-QRtF2,2020-12-18 18:02:20,2020-12-18 18:04:25,2020-12-18 18:04:25,NA,cb,cb,cc,robot,3,2,1,1,1,4,1,7,5,6,4,4,3,4,4,7,4,6,5,5,6,2,1,3,4,1,3,2,1,4,1,1,2,3,5,6,3,2,4,6,5,1,2,1,3,4,2,4,2,-999,2,3,2,1,1,1,NA
9f1WVy47sq4nyaYi85COsZKcCQKY2IT3Nd-yQn8TUgEbxhTFUGtK-X1FExo1YnkI,2020-12-18 18:02:40,2020-12-18 18:10:43,2020-12-18 18:10:44,NA,gb,gb,cc,robot,4,2,4,4,3,2,2,5,4,4,5,4,4,4,5,4,4,4,6,4,4,1,1,1,1,1,3,2,2,4,2,2,2,4,4,4,4,4,4,5,5,4,4,4,4,4,4,1,1,2,1,1,1,4,2,1,NA
gTcna1o0y6ulxSaLo6gWxd-19NoVXH88CgYM_kWsYbMrNWBGD_vZG_vUjxz5a00I,2020-12-18 18:03:17,2020-12-18 18:33:17,2020-12-18 18:33:17,NA,cc,cc,cb,robot,3,3,3,2,3,2,2,4,4,4,5,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,2,2,3,3,3,3,4,4,4,5,4,3,4,3,4,5,4,4,4,4,2,3,3,3,3,3,3,3,1,NA
z4nQ0A9n7_0Mfjj7eXCunysq8eXk4n8B6df_Xh3exzFWhePJWOgFMG6WayJ02Tkp,2020-12-18 18:05:28,2020-12-18 18:20:29,2020-12-18 18:20:29,NA,cb,cb,gb,moral,1,2,2,3,3,2,3,2,2,2,2,3,2,2,3,3,2,2,2,2,2,3,4,3,4,4,2,2,3,2,3,2,3,2,2,2,2,3,2,2,4,3,5,3,3,4,2,1,2,1,2,2,4,3,4,1,NA
