true_hyp,study_iteration,numerator,denominator,BF,N
nonosp=nonvis=visosp,3,nonosp<nonvis<visosp,nonosp<nonvis=visosp,0.05849534850979896,250
nonosp<nonvis<visosp,3,nonosp=nonvis=visosp,Hc,1.0813367395089862e-5,250
nonosp<nonvis<visosp,3,nonosp<nonvis<visosp,Hc,2045.8300581687515,250
nonosp<nonvis<visosp,3,nonosp<nonvis=visosp,Hc,0.21167534642330546,250
nonosp<nonvis<visosp,3,nonosp<nonvis<visosp,nonosp=nonvis=visosp,501761.44995741633,250
nonosp<nonvis<visosp,3,nonosp<nonvis=visosp,nonosp=nonvis=visosp,19575.340288486183,250
nonosp<nonvis<visosp,3,nonosp=nonvis=visosp,nonosp<nonvis<visosp,1.99297893468075e-6,250
nonosp<nonvis<visosp,3,nonosp<nonvis=visosp,nonosp<nonvis<visosp,0.039013240834160356,250
nonosp<nonvis<visosp,3,nonosp=nonvis=visosp,nonosp<nonvis=visosp,5.10846802795137e-5,250
nonosp<nonvis<visosp,3,nonosp<nonvis<visosp,nonosp<nonvis=visosp,25.632323247659823,250
nonosp<nonvis=visosp,3,nonosp=nonvis=visosp,Hc,0.8582145077461713,250
nonosp<nonvis=visosp,3,nonosp<nonvis<visosp,Hc,2.365794420819898,250
nonosp<nonvis=visosp,3,nonosp<nonvis=visosp,Hc,16.26854236606411,250
nonosp<nonvis=visosp,3,nonosp<nonvis<visosp,nonosp=nonvis=visosp,2.2322401876216307,250
nonosp<nonvis=visosp,3,nonosp<nonvis=visosp,nonosp=nonvis=visosp,18.95626585104963,250
nonosp<nonvis=visosp,3,nonosp=nonvis=visosp,nonosp<nonvis<visosp,0.4479804662353396,250
nonosp<nonvis=visosp,3,nonosp<nonvis=visosp,nonosp<nonvis<visosp,8.49203681403426,250
nonosp<nonvis=visosp,3,nonosp=nonvis=visosp,nonosp<nonvis=visosp,0.05275300567409108,250
nonosp<nonvis=visosp,3,nonosp<nonvis<visosp,nonosp<nonvis=visosp,0.117757379283538,250
"nonosp,nonvis,visosp",3,nonosp=nonvis=visosp,Hc,4.658516367110097e-4,250
"nonosp,nonvis,visosp",3,nonosp<nonvis<visosp,Hc,1.9487704749854826e-7,250
"nonosp,nonvis,visosp",3,nonosp<nonvis=visosp,Hc,1.019101534259587e-5,250
"nonosp,nonvis,visosp",3,nonosp<nonvis<visosp,nonosp=nonvis=visosp,5.147303731220213e-4,250
"nonosp,nonvis,visosp",3,nonosp<nonvis=visosp,nonosp=nonvis=visosp,0.02187609646398613,250
"nonosp,nonvis,visosp",3,nonosp=nonvis=visosp,nonosp<nonvis<visosp,1942.7647020995616,250
"nonosp,nonvis,visosp",3,nonosp<nonvis=visosp,nonosp<nonvis<visosp,42.50010802995729,250
"nonosp,nonvis,visosp",3,nonosp=nonvis=visosp,nonosp<nonvis=visosp,45.711994443170695,250
"nonosp,nonvis,visosp",3,nonosp<nonvis<visosp,nonosp<nonvis=visosp,0.023529351955885014,250
nonosp=nonvis=visosp,4,nonosp=nonvis=visosp,Hc,73.14146337742503,250
nonosp=nonvis=visosp,4,nonosp<nonvis<visosp,Hc,0.8611012075727372,250
nonosp=nonvis=visosp,4,nonosp<nonvis=visosp,Hc,10.118296976152676,250
nonosp=nonvis=visosp,4,nonosp<nonvis<visosp,nonosp=nonvis=visosp,0.012095760573449991,250
