session;created;modified;ended;expired;treat;variable;value;treat_nr
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_exp_1;   4;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_exp_2;   4;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_exp_3;   4;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_exp_4;   5;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_exp_5;   5;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_exp_6;   4;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_int_1;   4;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_int_2;   5;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_int_3;   4;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_int_4;   4;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_ben_1;   4;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_ben_2;   4;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tru_ben_3;   4;1
